director, manager|مُدير|مُدَراء|noun|occupations|m|15
Muslim|مُسْلِم|مُسْلِمون|noun|Islam|m|15
Christ|المَسيح||noun|religious|m|15
teacher|مُعَلِّم|مُعَلِّمون|noun|occupations|m|15
information|مَعلومة|مَعلومات|noun|other|f|15
sunset|مَغْرِب||noun|times|m|15
occasion|مُناسَبة|مُناسَبات|noun|other|f|15
region|مِنْطَقة|مَناطِق|noun|places|f|15
birthday, birthplace|مَوْلِد||noun|other|m|15
birth, birthday|ميلاد|مَواليد|noun|other|m|15
prophet|نَبيّ|أنْبياء|noun|religious|m|15
to congratulate, to felicitate|هَنَّأ (يُهَنِّئُ) تَهنئة||verb|||15
to be born (passive)|وُلِدَ (يولَدُ) وِﻻدة/مَوْلِد||verb|||15
social gathering|اِجْتِماع|اِجْتِماعات|noun|other|m|16
to use, to utilize, to employ|اِستَخدَمَ (يَستَخدِمُ) اِستِخدام||verb|||16
to become a martyr|اُسْتُشْهِدَ (يُستَشْهَدُ) اِسْتِشهاد||verb|||16
to establish, to found|أسَّسَ (يُؤَسِّسُ) تأسيس||verb|||16
black|أسْوَد|سود|noun|colors|m|16
to be assassinated|اُغْتيلَ (يُغتالُ) اِغتِيال||verb|||16
prince|أمير|أُمَراء|noun|titles|m|16
to elect|اِنْتَخَبَ (يَنتَخِبُ) اِنتِخاب||verb|||16
Andalusia, Muslim Spain|اﻷنْدَلُس||noun|places|f|16
history|تاريخ|تَواريخ|noun|subjects|m|16
discrimination|تَمييز||noun|other|m|16
to pass away|تُوُفِيَ (يُتَوَفّى) وَفاة||verb|||16
mosque|جامِع|جَوامِع|noun|Islam|m|16
prize, award|جائِزة|جَوائِز|noun|other|m|16
algebra|جَبْر||noun|subjects|m|16
to be wounded, to be hurt|جُرِحَ (يُجرَحُ) جَرح||verb|||16
republic|جُمهوريّة|جُمهوريّات|noun|other|f|16
army|جَيْش|جُيوش|noun|other|m|16
to fight|حارَبَ (يُحارِبُ) حَرْب/مُحارَبة||verb|||16
war|حَرْب|حُروب|noun|other|f|16
account|حِساب|حِسابات|noun|other|m|16
